Firmware Version,Version 2.3 (13),System S/N,200-10008,Associated XDR,12398-1004,,Gain Pot Settings:,A:,7,B:,6,C:,5,D:,5,,,,,,,,,,,,,,,,,,
Date,Time,Log Type,Unit State,Electrical Energy (J),Time Setting (s),Electrical Power (W),Sonication Mode,Error/Reason,Chan A FWD,Chan A REV,Chan B FWD,Chan B REV,Chan C FWD,Chan C REV,Chan D FWD,Chan D REV,LCD Working?,Panic SW Open?,Unit Temperature (C),Cal Factor (A),Cal Factor (B),Cal Factor (C),Cal Factor (D),Delivered Acoustic Energy (J),,Base Ticks (A),Adj Ticks (A),Base Ticks (B),Adj Ticks (B),Base Ticks (C),Adj Ticks (C),Base Ticks (D),Adj Ticks (D)
8/20/2021,14:21:54,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.54,0.08,6.49,0.1,6.27,0.09,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,45.22,,1421,35,1352,31,1299,61,1343,3
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.67,0.08,6.58,0.1,6.39,0.09,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,46.69,,1421,35,1352,31,1299,62,1343,3
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.73,0.08,6.38,0.09,6.46,0.09,6.58,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,48.16,,1421,35,1352,32,1299,62,1343,3
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.87,0.08,6.46,0.1,6.43,0.1,6.66,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,49.64,,1421,35,1352,32,1299,62,1343,3
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.88,0.08,6.45,0.1,6.42,0.1,6.68,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,51.12,,1421,35,1352,32,1299,62,1343,3
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.67,0.07,6.5,0.1,6.33,0.1,6.41,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,52.58,,1421,35,1352,32,1299,63,1343,4
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.57,0.08,6.62,0.1,6.5,0.1,6.53,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,54.05,,1421,35,1352,32,1299,63,1343,4
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.87,0.08,6.72,0.1,6.5,0.1,6.62,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,55.55,,1421,35,1352,32,1299,63,1343,4
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.99,0.09,6.56,0.11,6.48,0.11,6.61,0.12,TRUE,TRUE,27,56.2,56.2,56.2,56.2,57.04,,1421,34,1352,32,1299,63,1343,4
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.01,0.09,6.44,0.11,6.45,0.11,6.54,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,58.53,,1421,33,1352,32,1299,63,1343,4
8/20/2021,14:21:55,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.13,0.09,6.47,0.12,6.4,0.1,6.66,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,60.03,,1421,32,1352,32,1299,64,1343,4
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.99,0.1,6.47,0.11,6.25,0.1,6.42,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,61.49,,1421,31,1352,32,1299,65,1343,4
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,6.99,0.09,6.73,0.1,6.26,0.1,6.3,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,62.97,,1421,30,1352,32,1299,66,1343,5
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.13,0.08,6.84,0.11,6.36,0.09,6.42,0.1,TRUE,TRUE,27,56.2,56.2,56.2,56.2,64.47,,1421,29,1352,32,1299,67,1343,5
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.24,0.08,6.75,0.09,6.49,0.09,6.41,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,65.97,,1421,28,1352,32,1299,67,1343,6
8/20/2021,14:21:56,Sonication,ACTIVE,533,20,26.65,Incoherent,,7.27,0.07,6.6,0.1,6.46,0.1,6.36,0.11,TRUE,TRUE,27,56.2,56.2,56.2,56.2,67.47,,1421,27,1352,32,1299,67,1343,7
